UF,Jornada,Piso Salarial,Media Salarial,Teto Salarial,Salario Hora
Sao Paulo,44,1699.89,1747.72,2641.06,7.97
Santa Catarina,44,1798.86,1849.37,2794.83,8.45
Minas Gerais,44,1396.59,1435.80,2169.83,6.57
Parana,44,1644.37,1690.34,2554.80,7.71
Rio de Janeiro,43,1552.72,1596.32,2412.41,7.46
Ceara,43,1337.06,1374.61,2077.35,6.33
Rio Grande do Sul,44,1629.33,1675.08,2531.43,7.63
Goias,44,1387.15,1426.09,2155.16,6.53
Pernanbuco,44,1399.86,1439.16,2174.90,6.58
Rio Grande do Norte,44,1265.93,1301.47,1966.82,5.93
Espirito Santo,43,1378.61,1417.32,2141.90,6.55
Bahia,43,1328.71,1366.02,2064.37,6.29
Paraiba,44,1307.67,1344.39,2031.68,6.14
Sergipe,43,1278.52,1314.42,1986.39,6.10
Amazonas,44,1296.70,1333.11,2014.64,6.10
Mato Grosso do Sul,44,1454.23,1495.06,2259.39,6.81
Para,43,1487.12,1528.87,2310.48,7.05
Mato Grosso,44,1569.69,1613.77,2438.77,7.35
Piaui,44,1281.32,1317.30,1990.74,6.04
Distrito Federal,44,1552.88,1596.48,2412.65,7.27
Maranhao,44,1334.82,1372.30,2073.86,6.28
Rondonia,44,1413.51,1453.20,2196.11,6.65
Alagoas,44,1337.05,1374.60,2077.33,6.29
Roraima,44,1378.93,1417.65,2142.40,6.44
Tocantins,43,1321.26,1358.36,2052.80,6.36
Amapa,43,1301.04,1337.57,2021.38,6.18
Acre,44,1316.08,1352.04,2044.75,6.21
